,combos,R2,R2_adj,RMSE
20982,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'total_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
20983,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'assist_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
20985,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'block_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
20986,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'turnover_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
20989,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'defensive_win_shares', 'exp', 'exp^2']",0.458,0.454,1.046
17855,"['age', 'team', 'minutes_played', 'true_shooting_percentage', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21749,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.458,0.454,1.046
20967,"['team', 'minutes_played', 'player_efficiency_rating', 'offensive_rebound_percentage', 'total_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21750,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'allstar', 'exp', 'exp^2']",0.458,0.454,1.046
3513,"['team', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.046
21916,"['team', 'minutes_played', 'assist_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
21875,"['team', 'minutes_played', 'total_rebound_percentage', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.458,0.454,1.046
21165,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.454,1.046
22082,"['team', 'minutes_played', 'turnover_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
21917,"['team', 'minutes_played', 'assist_percentage', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
21172,"['team', 'minutes_played', 'true_shooting_percentage', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21876,"['team', 'minutes_played', 'total_rebound_percentage', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.458,0.454,1.046
21581,"['team', 'minutes_played', 'offensive_rebound_percentage', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21522,"['team', 'minutes_played', 'free_throw_attempt_rate', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
21858,"['team', 'minutes_played', 'total_rebound_percentage', 'win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
21384,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.453,1.047
21753,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.453,1.047
22154,"['team', 'minutes_played', 'usage_percentage', 'defensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.457,0.453,1.047
21860,"['team', 'minutes_played', 'total_rebound_percentage', 'win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
21744,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'win_shares', 'exp', 'exp^2']",0.457,0.453,1.047
21823,"['team', 'minutes_played', 'total_rebound_percentage', 'turnover_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21743,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'defensive_win_shares', 'exp', 'exp^2']",0.457,0.453,1.047
21742,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'offensive_win_shares', 'exp', 'exp^2']",0.458,0.453,1.047
21315,"['team', 'minutes_played', 'three_point_attempt_rate', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.453,1.047
21386,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.458,0.453,1.047
22038,"['team', 'minutes_played', 'block_percentage', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
19543,"['team', 'games_played', 'minutes_played', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
21686,"['team', 'minutes_played', 'defensive_rebound_percentage', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21567,"['team', 'minutes_played', 'offensive_rebound_percentage', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21845,"['team', 'minutes_played', 'total_rebound_percentage', 'offensive_win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
22126,"['team', 'minutes_played', 'usage_percentage', 'offensive_win_shares', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
21841,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'allstar', 'exp', 'exp^2']",0.457,0.453,1.047
20951,"['team', 'minutes_played', 'player_efficiency_rating', 'free_throw_attempt_rate', 'total_rebound_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21002,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'offensive_win_shares', 'exp', 'exp^2']",0.457,0.453,1.047
21010,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'allstar', 'exp', 'exp^2']",0.457,0.453,1.047
21703,"['team', 'minutes_played', 'defensive_rebound_percentage', 'assist_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.453,1.047
21468,"['team', 'minutes_played', 'free_throw_attempt_rate', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
21466,"['team', 'minutes_played', 'free_throw_attempt_rate', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
22155,"['team', 'minutes_played', 'usage_percentage', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.457,0.453,1.047
21847,"['team', 'minutes_played', 'total_rebound_percentage', 'offensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
21032,"['team', 'minutes_played', 'player_efficiency_rating', 'steal_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
7376,"['positions', 'team', 'minutes_played', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
21775,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'value_over_replacement_player', 'exp', 'exp^2']",0.457,0.453,1.047
21766,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.453,1.047
7301,"['positions', 'team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.453,1.047
21699,"['team', 'minutes_played', 'defensive_rebound_percentage', 'assist_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21870,"['team', 'minutes_played', 'total_rebound_percentage', 'offensive_box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.457,0.453,1.047
22133,"['team', 'minutes_played', 'usage_percentage', 'defensive_win_shares', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.047
21715,"['team', 'minutes_played', 'defensive_rebound_percentage', 'steal_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.452,1.047
17833,"['age', 'team', 'minutes_played', 'player_efficiency_rating', 'three_point_attempt_rate', 'exp', 'exp^2']",0.457,0.453,1.047
21711,"['team', 'minutes_played', 'defensive_rebound_percentage', 'steal_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21871,"['team', 'minutes_played', 'total_rebound_percentage', 'offensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.457,0.453,1.047
22139,"['team', 'minutes_played', 'usage_percentage', 'win_shares', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.457,0.453,1.047
3506,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.457,0.453,1.047
21813,"['team', 'minutes_played', 'total_rebound_percentage', 'block_percentage', 'usage_percentage', 'exp', 'exp^2']",0.456,0.452,1.048
22035,"['team', 'minutes_played', 'block_percentage', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.456,0.452,1.048
21840,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.456,0.452,1.048
21795,"['team', 'minutes_played', 'total_rebound_percentage', 'assist_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.451,1.048
21807,"['team', 'minutes_played', 'total_rebound_percentage', 'steal_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
21179,"['team', 'minutes_played', 'true_shooting_percentage', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
21177,"['team', 'minutes_played', 'true_shooting_percentage', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.451,1.048
21790,"['team', 'minutes_played', 'total_rebound_percentage', 'assist_percentage', 'usage_percentage', 'exp', 'exp^2']",0.456,0.451,1.048
19486,"['team', 'games_played', 'minutes_played', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
21461,"['team', 'minutes_played', 'free_throw_attempt_rate', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.456,0.452,1.048
21835,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'win_shares', 'exp', 'exp^2']",0.456,0.452,1.048
22143,"['team', 'minutes_played', 'usage_percentage', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
3520,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.456,0.452,1.048
7305,"['positions', 'team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.457,0.452,1.048
17879,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'exp', 'exp^2']",0.456,0.452,1.048
21834,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'defensive_win_shares', 'exp', 'exp^2']",0.456,0.451,1.048
21162,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.456,0.452,1.048
17950,"['age', 'team', 'minutes_played', 'total_rebound_percentage', 'allstar', 'exp', 'exp^2']",0.456,0.452,1.048
21004,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'win_shares', 'exp', 'exp^2']",0.457,0.452,1.048
7315,"['positions', 'team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.456,0.451,1.048
21006,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
21007,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
21008,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.457,0.452,1.048
21009,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.457,0.452,1.048
3510,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.456,0.452,1.048
21167,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_rebound_percentage', 'allstar', 'exp', 'exp^2']",0.456,0.452,1.048
21797,"['team', 'minutes_played', 'total_rebound_percentage', 'assist_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.456,0.452,1.048
